,title,year,rating,director_and_writers
0,Tyler Rake: Operação de Resgate,2020,6.8,"Sam Hargrave (dir.), Chris Hemsworth, Bryon Lerum"
1,Star Wars: Episódio IX - A Ascensão de Skywalker,2019,6.7,"J.J. Abrams (dir.), Daisy Ridley, John Boyega"
2,Mentiras Perigosas,2020,5.2,"Michael M. Scott (dir.), Nick Purcha, Joe Costa"
3,Se Tu Soubesses...,2020,7.1,"Alice Wu (dir.), Leah Lewis, Daniel Diemer"
4,365 dni,2020,3.6,"Barbara Bialowas (dir.), Michele Morrone, Anna Maria Sieklucka"
5,Era Uma Vez em... Hollywood,2019,7.7,"Quentin Tarantino (dir.), Leonardo DiCaprio, Brad Pitt"
6,The Gentlemen - Senhores do Crime,2019,7.9,"Guy Ritchie (dir.), Matthew McConaughey, Charlie Hunnam"
7,Parasitas,2019,8.6,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee"
8,Bad Education,2019,7.2,"Cory Finley (dir.), Hugh Jackman, Ray Romano"
9,The Lodge,2019,6.1,"Severin Fiala (dir.), Riley Keough, Jaeden Martell"
10,A Plataforma,2019,7.0,"Galder Gaztelu-Urrutia (dir.), Ivan Massagué, Zorion Eguileor"
11,Knives Out: Todos São Suspeitos,2019,7.9,"Rian Johnson (dir.), Daniel Craig, Chris Evans"
12,1917,2019,8.3,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
13,Vingadores: Endgame,2019,8.4,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
14,Joker,2019,8.5,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
15,All Day and a Night,2020,5.9,"Joe Robert Cole (dir.), Ashton Sanders, Jeffrey Wright"
16,Birds of Prey (e a Fantabulástica Emancipação De Uma Harley Quinn),2020,6.2,"Cathy Yan (dir.), Margot Robbie, Rosie Perez"
17,Bad Boys Para Sempre,2020,6.7,"Adil El Arbi (dir.), Will Smith, Martin Lawrence"
18,Dune,2020,,"Denis Villeneuve (dir.), David Dastmalchian, Stephen McKinley Henderson"
19,Justice League Dark: Apokolips War,2020,8.0,"Matt Peters (dir.), Roger Cross, Rosario Dawson"
20,Covil de Ladrões,2018,7.0,"Christian Gudegast (dir.), Gerard Butler, Pablo Schreiber"
21,A Ilha da Fantasia,2020,4.8,"Jeff Wadlow (dir.), Michael Peña, Maggie Q"
22,Mrs. Serial Killer,2020,4.4,"Shirish Kunder (dir.), Jacqueline Fernandez, Manoj Bajpayee"
23,Jojo Rabbit,2019,7.9,"Taika Waititi (dir.), Roman Griffin Davis, Thomasin McKenzie"
24,Bloodshot,2020,5.7,"Dave Wilson (dir.), Vin Diesel, Eiza González"
25,Arkansas,2020,5.8,"Clark Duke (dir.), Liam Hemsworth, Vince Vaughn"
26,Tenet,2020,,"Christopher Nolan (dir.), Elizabeth Debicki, Robert Pattinson"
27,The Willoughbys,2020,6.4,"Kris Pearn (dir.), Will Forte, Maya Rudolph"
28,Os Condenados de Shawshank,1994,9.3,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
29,Midsommar - O Ritual,2019,7.1,"Ari Aster (dir.), Florence Pugh, Jack Reynor"
30,O Padrinho,1972,9.2,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
31,Mulherzinhas,2019,7.9,"Greta Gerwig (dir.), Saoirse Ronan, Emma Watson"
32,Regresso ao Futuro,1985,8.5,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
33,Star Wars: Episódio I - A Ameaça Fantasma,1999,6.5,"George Lucas (dir.), Ewan McGregor, Liam Neeson"
34,Ousadas e Golpistas,2019,6.3,"Lorene Scafaria (dir.), Constance Wu, Jennifer Lopez"
35,Trolls: Tour Mundial,2020,6.1,"Walt Dohrn (dir.), Anna Kendrick, Justin Timberlake"
36,Sonic: O Filme,2020,6.6,"Jeff Fowler (dir.), Ben Schwartz, James Marsden"
37,The Wretched,2019,5.8,"Brett Pierce (dir.), John-Paul Howard, Piper Curda"
38,Star Wars: Episódio IV - Uma Nova Esperança,1977,8.6,"George Lucas (dir.), Mark Hamill, Harrison Ford"
39,Code 8: Renegados,2019,6.1,"Jeff Chan (dir.), Kari Matchett, Robbie Amell"
40,Contágio,2011,6.7,"Steven Soderbergh (dir.), Matt Damon, Kate Winslet"
